SignalType,Xsections,N_orig,Group,CustomJson,EOSDirectoryDYJetsToLL_Pt-50To100_,354.3,47590627,ZJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
QCD_Pt-30to50_EMEnriched_,6.955e+06,0,QCDEle,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
QCD_Pt-50to80_EMEnriched_,2.206e+06,0,QCDEle,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
QCD_Pt-80to120_EMEnriched_,4.149e+05,0,QCDEle,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
QCD_Pt-120to170_EMEnriched_,7.579e+04,0,QCDEle,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
QCD_Pt-170to300_EMEnriched_,1.882e+04,0,QCDEle,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
QCD_Pt-300toInf_EMEnriched_,1.213e+03,0,QCDEle,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
##TT_TuneCUETP8M2T4_13TeV-powheg-pythia8,831.76,154743838,TTBar_powheg,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
TTJets_TuneCUETP8M2T4_13TeV-amcatnloFXFX-pythia8,831.76,14937395,TTBar_amcnlo,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
GluGluHToZZTo4L_M125,0.01212,1763510,SMHiggs,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
VBF_HToZZTo4L_M125,0.001034,489200,SMHiggs,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
GluGluHToBB_M125,25.34,18915687,SMHiggs,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
VBFHToBB_M125,2.1626,1962888,SMHiggs,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
ZH_HToBB_ZToLL_M125,0.173,19823178,SMHiggs,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
ggZH_HToBB_ZToLL_M125,.006954,10336518,SMHiggs,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
WH_HToBB_WToLNu_M125,0.173,1246495,SMHiggs,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
WplusH_HToZZTo4L_M125,0.0002339,297480,SMHiggs,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
WminusH_HToZZTo4L_M125,0.0001471,150860,SMHiggs,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
ttHJetTobb_M125,0.2934,2919527,SMHiggs,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
ttHJetToNonbb_M125,0.2151,1919416,SMHiggs,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
/GluGluToRadionToHHTo2B2ZTo2L2J_M-260_narrow,,0,HHTo2B2Z_M-260,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
/GluGluToRadionToHHTo2B2ZTo2L2J_M-270_narrow,,0,HHTo2B2Z_M-270,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
/GluGluToRadionToHHTo2B2ZTo2L2J_M-300_narrow,,0,HHTo2B2Z_M-300,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
/GluGluToRadionToHHTo2B2ZTo2L2J_M-350_narrow,,0,HHTo2B2Z_M-350,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
/GluGluToRadionToHHTo2B2ZTo2L2J_M-400_narrow,,0,HHTo2B2Z_M-400,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
/GluGluToRadionToHHTo2B2ZTo2L2J_M-450_narrow,,0,HHTo2B2Z_M-450,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
/GluGluToRadionToHHTo2B2ZTo2L2J_M-500_narrow,,0,HHTo2B2Z_M-500,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
/GluGluToRadionToHHTo2B2ZTo2L2J_M-550_narrow,,0,HHTo2B2Z_M-550,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
/GluGluToRadionToHHTo2B2ZTo2L2J_M-600_narrow,,0,HHTo2B2Z_M-600,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
/GluGluToRadionToHHTo2B2ZTo2L2J_M-650_narrow,,0,HHTo2B2Z_M-650,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
/GluGluToRadionToHHTo2B2ZTo2L2J_M-750_narrow,,0,HHTo2B2Z_M-750,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
/GluGluToRadionToHHTo2B2ZTo2L2J_M-800_narrow,,0,HHTo2B2Z_M-800,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
/GluGluToRadionToHHTo2B2ZTo2L2J_M-900_narrow,,0,HHTo2B2Z_M-850,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
/GluGluToRadionToHHTo2B2ZTo2L2J_M-1000_narrow,,0,HHTo2B2Z_M-1000,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
DoubleMuon_Run2016B-03Feb2017,1,1,DoubleMuData_2016Bv3,Cert_271036-284044_13TeV_23Sep2016ReReco_Collisions16_JSON.txt,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/DoubleMuon/
DoubleMuon_Run2016C-03Feb2017,1,1,DoubleMuData_2016C,Cert_271036-284044_13TeV_23Sep2016ReReco_Collisions16_JSON.txt,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/DoubleMuon/
