SignalType,Xsections,N_orig,Group,CustomJson,EOSDirectory
#DYJetsToLL_M-10to50,18610,35079788,ZJetsJBin,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
#DYJetsToLL_M-50_HT-100to200_,181.302,11172146,ZJetsJBin,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
#DYJetsToLL_M-50_HT-200to400_,50.4177,9628177,ZJetsJBin,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
#DYJetsToLL_M-50_HT-400to600_,6.98394,8817018,ZJetsJBin,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
#DYJetsToLL_M-50_HT-600to800_,1.68141,8232153,ZJetsJBin,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
#DYJetsToLL_M-50_HT-800to1200_,0.775392,2650775,ZJetsJBin,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
#DYJetsToLL_M-50_HT-1200to2500_,0.186222,616612,ZJetsJBin,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
#DYJetsToLL_M-50_HT-2500toInf_,0.00438495,376260,ZJetsJBin,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
DYJetsToLL_Pt-50To100_,354.3,47590627,ZJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
DYJetsToLL_Pt-100To250_,83.12,29846562,ZJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
DYJetsToLL_Pt-250To400_,3.047,7764635,ZJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
DYJetsToLL_Pt-400To650_,0.3921,628078,ZJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
DYJetsToLL_Pt-650ToInf_,0.03636,668552,ZJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
#DYToLL_0J,,76690001,ZJetsJBin,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
#DYToLL_1J,,18902180,ZJetsJBin,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
#DYToLL_2J,,12318832,ZJetsJBin,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
DYJetsToLL_M-50_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8,5765.4,81781064,ZJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
ST_s-channel_4f,10.32,1884837,SingleTop,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
ST_t-channel_top,136.02,5993676,SingleTop,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
ST_t-channel_antitop,80.95,3928063,SingleTop,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
ST_tW_top_5f_inclusiveDecays,35.85,992024,SingleTop,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
ST_tW_antitop_5f_inclusiveDecays,35.85,998276,SingleTop,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
ZZ_T,16.523,1988098,DiBoson,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
WZ_T,47.13,3995828,DiBoson,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
WW_T,113.826,7981136,DiBoson,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
#WJetsToLNu_HT-100To200_,1627.45,37778906,WJetsJBin,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
#WJetsToLNu_HT-200To400_,435.237,19851624,WJetsJBin,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
#WJetsToLNu_HT-400To600_,59.1811,7432746,WJetsJBin,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
#WJetsToLNu_HT-600To800_,14.5805,18133257,WJetsJBin,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
#WJetsToLNu_HT-800To1200_,6.65621,7854734,WJetsJBin,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
#WJetsToLNu_HT-1200To2500_,1.60809,7063909,WJetsJBin,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
#WJetsToLNu_HT-2500ToInf_,0.0389136,2507809,WJetsJBin,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
WJetsToLNu_Pt-100To250_,630.6,43329358,WJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/RunII/dmorse/v2-3-6/
