SignalType,Xsections,N_orig,Group,CustomJson,EOSDirectory
#
#Data
SingleMuon_Run2017B-31Mar2018,1,1,SingleMuData,Cert_294927-306462_13TeV_PromptReco_Collisions17_JSON.txt,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
SingleMuon_Run2017C-31Mar2018,1,1,SingleMuData,Cert_294927-306462_13TeV_PromptReco_Collisions17_JSON.txt,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
SingleMuon_Run2017D-31Mar2018,1,1,SingleMuData,Cert_294927-306462_13TeV_PromptReco_Collisions17_JSON.txt,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
SingleMuon_Run2017E-31Mar2018,1,1,SingleMuData,Cert_294927-306462_13TeV_PromptReco_Collisions17_JSON.txt,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
SingleMuon_Run2017F-31Mar2018,1,1,SingleMuData,Cert_294927-306462_13TeV_PromptReco_Collisions17_JSON.txt,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
SingleMuon_Run2017G-31Mar2018,1,1,SingleMuData,Cert_294927-306462_13TeV_PromptReco_Collisions17_JSON.txt,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
SingleMuon_Run2017H-31Mar2018,1,1,SingleMuData,Cert_294927-306462_13TeV_PromptReco_Collisions17_JSON.txt,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
#
#DY+jets
DYJetsToLL_M-10to50,18610,79203184,ZJetsM10-50,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
DY1JetsToLL_M-50_LHEZpT_50-150,316.6,32594424,ZJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
DY1JetsToLL_M-50_LHEZpT_150-250,9.543,27699592,ZJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
DY1JetsToLL_M-50_LHEZpT_250-400,1.098,4440686,ZJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
DY1JetsToLL_M-50_LHEZpT_400-inf,0.1193,1739888,ZJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
DY2JetsToLL_M-50_LHEZpT_50-150,169.6,102231028,ZJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
DY2JetsToLL_M-50_LHEZpT_150-250,15.65,128959647,ZJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
DY2JetsToLL_M-50_LHEZpT_250-400,2.737,29532640,ZJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
DY2JetsToLL_M-50_LHEZpT_400-inf,0.4477,5159314,ZJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
#Single Top
ST_s-channel_4f,10.32,9568575,SingleTop,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
ST_t-channel_top_4f_inclusiveDecays,136.02,5865875,SingleTop,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
ST_t-channel_antitop_4f_inclusiveDecays,80.95,3939990,SingleTop,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
ST_tW_top_5f_inclusiveDecays,35.85,7581624,SingleTop,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
ST_tW_antitop_5f_inclusiveDecays,35.85,5090330,SingleTop,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
#DiBoson
WZTo1L1Nu2Q,10.71,352334878,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
WWTo1L1Nu2Q,49.997,745255450,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
WZTo3LNu,4.42965,93645972,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
WZTo2L2Q,5.595,538317462,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
WZTo2Q2Nu,6.324,1,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
WWTo4Q,51.723,1,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
WZTo1L3Nu,3.033,29030866,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
ZZTo2Q2Nu,4.04,434203014,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
ZZTo4L,1.212,1,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
ZZTo2L2Q,3.22,155873997,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
ZZTo4Q,6.896587,1,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
VVTo2L2Nu,11.95,251904810,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
#WJets
W1JetsToLNu_LHEWpT_0-50,6214.0,20695565,WJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
W1JetsToLNu_LHEWpT_50-150,2675.79,111516014,WJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
W1JetsToLNu_LHEWpT_150-250,71.71,315163797,WJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
W1JetsToLNu_LHEWpT_250-400,8.06,35781071,WJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
W1JetsToLNu_LHEWpT_400-inf,0.89,13515782,WJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
W2JetsToLNu_LHEWpT_0-50,1626.37,38018315,WJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
W2JetsToLNu_LHEWpT_50-150,1345.61,74309372,WJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
W2JetsToLNu_LHEWpT_150-250,108.59,478767432,WJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
W2JetsToLNu_LHEWpT_250-400,18.03,40379160,WJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
W2JetsToLNu_LHEWpT_400-inf,3.0,70704904,WJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
#QCD
QCD_Pt-15to20_MuEnrichedPt5_,3.627e+06,5268554,QCDMu,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
QCD_Pt-20to30_MuEnrichedPt5_,3.140e+06,28213684,QCDMu,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
QCD_Pt-30to50_MuEnrichedPt5_,1.652e+06,29030324,QCDMu,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
QCD_Pt-50to80_MuEnrichedPt5_,4.493e+05,24068613,QCDMu,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
QCD_Pt-80to120_MuEnrichedPt5_,1.052e+05,23248995,QCDMu,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
QCD_Pt-120to170_MuEnrichedPt5_,2.552e+04,20727106,QCDMu,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
QCD_Pt-170to300_MuEnrichedPt5_,8.619e+03,25435483,QCDMu,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
QCD_Pt-300to470_MuEnrichedPt5_,7.964e+02,17744779,QCDMu,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
QCD_Pt-470to600_MuEnrichedPt5_,7.916e+01,1,QCDMu,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
QCD_Pt-600to800_MuEnrichedPt5_,2.527e+01,1,QCDMu,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
QCD_Pt-800to1000_MuEnrichedPt5_,4.732e+00,17027028,QCDMu,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
QCD_Pt-1000toInf_MuEnrichedPt5_,1.621e+00,11584096,QCDMu,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
#TTBar
TTJets_,831.76,287179962960,TTBar,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
#LQ signal
LQToCMu_M-200_,60.6,50000,LQuujj200,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
LQToCMu_M-250_,20.3,50000,LQuujj250,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
LQToCMu_M-300_,8.04,47284,LQuujj300,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
LQToCMu_M-350_,3.59,50000,LQuujj350,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
LQToCMu_M-400_,1.74,50000,LQuujj400,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
LQToCMu_M-450_,.906,50000,LQuujj450,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
LQToCMu_M-500_,.496,49192,LQuujj500,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
LQToCMu_M-550_,.284,50000,LQuujj550,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
LQToCMu_M-600_,.169,50000,LQuujj600,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
LQToCMu_M-650_,.103,50000,LQuujj650,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
LQToCMu_M-700_,.0648,50000,LQuujj700,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
LQToCMu_M-750_,.0416,50000,LQuujj750,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
LQToCMu_M-800_,.0273,50000,LQuujj800,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
LQToCMu_M-850_,.0182,50000,LQuujj850,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
LQToCMu_M-900_,.0123,50000,LQuujj900,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
LQToCMu_M-950_,.00845,50000,LQuujj950,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
LQToCMu_M-1000_,.00586,50000,LQuujj1000,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
LQToCMu_M-1050_,.00411,49688,LQuujj1050,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
LQToCMu_M-1100_,.00291,49356,LQuujj1100,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
LQToCMu_M-1150_,.00208,50000,LQuujj1150,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
LQToCMu_M-1200_,.00150,50000,LQuujj1200,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
LQToCMu_M-1250_,.00109,50000,LQuujj1250,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
LQToCMu_M-1300_,.000795,49688,LQuujj1300,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
LQToCMu_M-1350_,.000585,50000,LQuujj1350,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
LQToCMu_M-1400_,.000433,50000,LQuujj1400,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
LQToCMu_M-1450_,.000321,50000,LQuujj1450,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
LQToCMu_M-1500_,.000240,50000,LQuujj1500,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
LQToCMu_M-1550_,.000180,49841,LQuujj1550,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
LQToCMu_M-1600_,.000135,49764,LQuujj1600,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
LQToCMu_M-1650_,.000102,50000,LQuujj1650,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
LQToCMu_M-1700_,.0000774,50000,LQuujj1700,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
LQToCMu_M-1750_,.0000588,50000,LQuujj1750,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
LQToCMu_M-1800_,.0000448,50000,LQuujj1800,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
LQToCMu_M-1850_,.0000343,50000,LQuujj1850,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
LQToCMu_M-1900_,.0000262,49564,LQuujj1900,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
LQToCMu_M-1950_,.0000201,50000,LQuujj1950,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
LQToCMu_M-2000_,.0000155,49313,LQuujj2000,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
#LQToCMu_MuNuJJFilter_M-200_,30.3,50078,LQuvjj200,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
#LQToCMu_MuNuJJFilter_M-250_,10.15,50267,LQuvjj250,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
#LQToCMu_MuNuJJFilter_M-300_,4.02,50080,LQuvjj300,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
#LQToCMu_MuNuJJFilter_M-350_,1.795,50146,LQuvjj350,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
#LQToCMu_MuNuJJFilter_M-400_,.87,49909,LQuvjj400,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
#LQToCMu_MuNuJJFilter_M-450_,.453,48268,LQuvjj450,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
#LQToCMu_MuNuJJFilter_M-500_,.248,49824,LQuvjj500,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
#LQToCMu_MuNuJJFilter_M-550_,.142,50096,LQuvjj550,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
#LQToCMu_MuNuJJFilter_M-600_,.0845,49972,LQuvjj600,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
#LQToCMu_MuNuJJFilter_M-650_,.0515,49928,LQuvjj650,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
#LQToCMu_MuNuJJFilter_M-700_,.0324,49946,LQuvjj700,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
#LQToCMu_MuNuJJFilter_M-750_,.0208,49833,LQuvjj750,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
#LQToCMu_MuNuJJFilter_M-800_,.01365,49991,LQuvjj800,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
#LQToCMu_MuNuJJFilter_M-850_,.0091,49808,LQuvjj850,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
#LQToCMu_MuNuJJFilter_M-900_,.00615,49906,LQuvjj900,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
#LQToCMu_MuNuJJFilter_M-950_,.004225,49926,LQuvjj950,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
#LQToCMu_MuNuJJFilter_M-1000_,.00293,49938,LQuvjj1000,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
#LQToCMu_MuNuJJFilter_M-1050_,.002055,49997,LQuvjj1050,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
#LQToCMu_MuNuJJFilter_M-1100_,.001455,49916,LQuvjj1100,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
#LQToCMu_MuNuJJFilter_M-1150_,.00104,50240,LQuvjj1150,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
#LQToCMu_MuNuJJFilter_M-1200_,.00075,50071,LQuvjj1200,0,/store/group/phys_exotica/leptonsPlusJets/LQ/customNano/skim/2017LQ2/
