SignalType,Xsections,N_orig,Group,CustomJson,EOSDirectory
DY3JetsToLL,60.69147,11015445,ZJetsJBin,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/eberry/RootNtuple-V00-03-11-Summer12MC_DYNJetsToLL_MG_20130215_230723/
DY4JetsToLL,27.364608,6402827,ZJetsJBin,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/eberry/RootNtuple-V00-03-11-Summer12MC_DYNJetsToLL_MG_20130215_230723/
#WJetsToLNu,36257.2,18393090,WJetsInc,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/eberry/RootNtuple-V00-03-11-Summer12MC_WJetsToLNu_MG_20130215_231038/
W0JetsToLNu,36257.2,18393090,WJetsJBin,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple_skim/eberry/RootNtuple-V00-03-11-Summer12MC_W0JetsToLNu_MG_rename/
W1JetsToLNu,6440.58,23141598,WJetsJBin,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/eberry/RootNtuple-V00-03-11-Summer12MC_WNJetsToLNu_MG_20130215_231134/
W2JetsToLNu,2087.225,34044921,WJetsJBin,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/eberry/RootNtuple-V00-03-11-Summer12MC_WNJetsToLNu_MG_20130215_231134/
W3JetsToLNu,619.0113,15539503,WJetsJBin,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/eberry/RootNtuple-V00-03-11-Summer12MC_WNJetsToLNu_MG_20130215_231134/
W4JetsToLNu,255.2378,13382803,WJetsJBin,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/eberry/RootNtuple-V00-03-11-Summer12MC_WNJetsToLNu_MG_20130215_231134/
WW_TuneZ2star,56,10000431,DiBoson,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/eberry/RootNtuple-V00-03-11-Summer12MC_DiBoson_PYTHIA_20130215_231443/
WZ_TuneZ2star,33.6,10000283,DiBoson,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/eberry/RootNtuple-V00-03-11-Summer12MC_DiBoson_PYTHIA_20130215_231443/
ZZ_TuneZ2star,8.2,9799908,DiBoson,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/eberry/RootNtuple-V00-03-11-Summer12MC_DiBoson_PYTHIA_20130215_231443/
T_s-channel,3.79,259961,SingleTop,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-11-Summer12MC_SingleTop_MG_20130215_190208/
T_t-channel,56.4,23777,SingleTop,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-11-Summer12MC_SingleTop_MG_20130215_190208/
T_tW-channel,11.1,497658,SingleTop,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-11-Summer12MC_SingleTop_MG_20130215_190208/
Tbar_s-channel,1.76,139974,SingleTop,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-11-Summer12MC_SingleTop_MG_20130215_190208/
Tbar_t-channel,30.7,1857670,SingleTop,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-11-Summer12MC_SingleTop_MG_20130215_190208/
Tbar_tW-channel,11.1,493460,SingleTop,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/hsaka/RootNtuple-V00-03-11-Summer12MC_SingleTop_MG_20130215_190208/
LQToCMu_M-300,1.89,50160,LQuujj300,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-11-Summer12MC_LQToCMu_BetaOne_20140625_173559
LQToCMu_M-350,0.77,50160,LQuujj350,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-11-Summer12MC_LQToCMu_BetaOne_20140625_173559
LQToCMu_M-400,0.342,50160,LQuujj400,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-11-Summer12MC_LQToCMu_BetaOne_20140625_173559
LQToCMu_M-450,0.163,50160,LQuujj450,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-11-Summer12MC_LQToCMu_BetaOne_20140625_173559
LQToCMu_M-500,0.082,50160,LQuujj500,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-11-Summer12MC_LQToCMu_BetaOne_20140625_173559
LQToCMu_M-550,0.0431,50160,LQuujj550,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-11-Summer12MC_LQToCMu_BetaOne_20140625_173559
LQToCMu_M-600,0.0235,50160,LQuujj600,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-11-Summer12MC_LQToCMu_BetaOne_20140625_173559
LQToCMu_M-650,0.0132,50160,LQuujj650,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-11-Summer12MC_LQToCMu_BetaOne_20140625_173559
LQToCMu_M-700,0.00761,50160,LQuujj700,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-11-Summer12MC_LQToCMu_BetaOne_20140625_173559
LQToCMu_M-750,0.00448,50160,LQuujj750,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-11-Summer12MC_LQToCMu_BetaOne_20140625_173559
LQToCMu_M-800,0.00269,50160,LQuujj800,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-11-Summer12MC_LQToCMu_BetaOne_20140625_173559
LQToCMu_M-850,0.00164,50160,LQuujj850,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-11-Summer12MC_LQToCMu_BetaOne_20140625_173559
LQToCMu_M-900,0.00101,50160,LQuujj900,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-11-Summer12MC_LQToCMu_BetaOne_20140625_173559
LQToCMu_M-950,0.000635,50160,LQuujj950,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-11-Summer12MC_LQToCMu_BetaOne_20140625_173559
LQToCMu_M-1000,0.000401,50160,LQuujj1000,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-11-Summer12MC_LQToCMu_BetaOne_20140625_173559
LQToCMu_M-1050,0.000256,50160,LQuujj1050,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-11-Summer12MC_LQToCMu_BetaOne_20140625_173559
LQToCMu_M-1100,0.000165,50160,LQuujj1100,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-11-Summer12MC_LQToCMu_BetaOne_20140625_173559
LQToCMu_M-1150,0.000107,50160,LQuujj1150,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-11-Summer12MC_LQToCMu_BetaOne_20140625_173559
LQToCMu_M-1200,7E-05,50160,LQuujj1200,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-11-Summer12MC_LQToCMu_BetaOne_20140625_173559
LQToCMu_MuNuJJFilter_M-300,0.945,25016,LQuvjj300,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-11-Summer12MC_LQToCMu_BetaHalf_20140625_175443
LQToCMu_MuNuJJFilter_M-350,0.385,25012,LQuvjj350,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-11-Summer12MC_LQToCMu_BetaHalf_20140625_175443
LQToCMu_MuNuJJFilter_M-400,0.171,25154,LQuvjj400,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-11-Summer12MC_LQToCMu_BetaHalf_20140625_175443
LQToCMu_MuNuJJFilter_M-450,0.0815,25024,LQuvjj450,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-11-Summer12MC_LQToCMu_BetaHalf_20140625_175443
LQToCMu_MuNuJJFilter_M-500,0.041,25168,LQuvjj500,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-11-Summer12MC_LQToCMu_BetaHalf_20140625_175443
LQToCMu_MuNuJJFilter_M-550,0.02155,25063,LQuvjj550,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-11-Summer12MC_LQToCMu_BetaHalf_20140625_175443
LQToCMu_MuNuJJFilter_M-600,0.01175,25284,LQuvjj600,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-11-Summer12MC_LQToCMu_BetaHalf_20140625_175443
LQToCMu_MuNuJJFilter_M-650,0.0066,25088,LQuvjj650,0,/store/group/phys_exotica/leptonsPlusJets/RootNtuple/darinb/RootNtuple-V00-03-11-Summer12MC_LQToCMu_BetaHalf_20140625_175443
