SignalType,Xsections,N_orig,Group,CustomJson,EOSDirectory
#
#SingleMuon Data
#
Run2016B-02Apr2020_ver2,1,1,SingleMuData,Cert_271036-284044_13TeV_ReReco_07Aug2017_Collisions16_JSON.txt,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/SingleMuon/
Run2016C-02Apr2020,1,1,SingleMuData,Cert_271036-284044_13TeV_ReReco_07Aug2017_Collisions16_JSON.txt,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/SingleMuon/
Run2016D-02Apr2020,1,1,SingleMuData,Cert_271036-284044_13TeV_ReReco_07Aug2017_Collisions16_JSON.txt,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/SingleMuon/
Run2016E-02Apr2020,1,1,SingleMuData,Cert_271036-284044_13TeV_ReReco_07Aug2017_Collisions16_JSON.txt,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/SingleMuon/
Run2016F-02Apr2020,1,1,SingleMuData,Cert_271036-284044_13TeV_ReReco_07Aug2017_Collisions16_JSON.txt,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/SingleMuon/
Run2016G-02Apr2020,1,1,SingleMuData,Cert_271036-284044_13TeV_ReReco_07Aug2017_Collisions16_JSON.txt,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/SingleMuon/
Run2016H-02Apr2020,1,1,SingleMuData,Cert_271036-284044_13TeV_ReReco_07Aug2017_Collisions16_JSON.txt,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/SingleMuon/
#
#DY+Jets
#
#DYJetsToLL_M-50_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8,5765.4,1897141622528,ZJetsInc_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/
DYJetsToLL_M-10to50,18610,3267653901370,ZJetsM10-50,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/
DYJetsToLL_Zpt-0To50,5352.57924,571611380224,ZJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/
DYJetsToLL_Pt-50To100,363.81428,119259750048,ZJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/
DYJetsToLL_Pt-100To250,84.014804,16746221472,ZJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/
DYJetsToLL_Pt-250To400,3.22826,152558725,ZJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/
DYJetsToLL_Pt-400To650,0.436041,1458753,ZJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/
DYJetsToLL_Pt-650ToInf,0.040981,137769,ZJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/
#
#TTBar
#
TT_TuneCUETP8M2T4_13TeV-powheg-pythia8,831.76,149486003,TTBar_Inc,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/
#
#TTV 
#
ttHTobb,0.291,5186872,TTV,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/
ttHToNonbb,0.213,5248991,TTV,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/
TTWJetsToLNu,0.179,1786575,TTV,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/
TTWJetsToQQ,0.371,569424,TTV,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/
TTZToLLNuNu,0.26,3456646,TTV,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/
TTZToQQ,0.60,396340,TTV,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/
#
#Single Top
#
ST_s-channel_4f_leptonDecays,3.38,3370668,SingleTop,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/
ST_t-channel_top_5f_leptDecays,44.51,255713574,SingleTop,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/
ST_t-channel_antitop_5f_leptDecays,26.49,99386814,SingleTop,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/
ST_tW_top_5f_inclusiveDecays,35.85, 6952830,SingleTop,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/
ST_tW_antitop_5f_inclusiveDecays,35.85,6933094,SingleTop,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/
#
#W+Jets 
#
WJetsToLNu_Wpt-0To50_,57297.3926,16958550686720,WJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/
WJetsToLNu_Wpt-50To100_,3298.3733,599888439808,WJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/
WJetsToLNu_Pt-100To250_,689.7496,149587773440,WJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/
WJetsToLNu_Pt-250To400_,24.5069,617769204,WJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/
WJetsToLNu_Pt-400To600_,3.110131,11692372,WJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/
WJetsToLNu_Pt-600ToInf_,0.468318,1830415,WJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/
#
#DiBoson
#
WWTo2L2Nu,12.178,1999000,DiBoson_Powheg,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/
WWTo1L1Nu2Q,49.997,441171408,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/
WWTo4Q,51.723,2236606760,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/
WZTo3LNu,4.42965,97448996,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/
WZTo1L3Nu,3.033,9357734,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/
WZTo2L2Q,5.595,233388707,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/
WZTo1L1Nu2Q,10.71,422045306,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/
WZTo2Q2Nu,6.324,181249867,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/
ZZTo4L,1.212,20479341,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/
ZZTo2L2Q,3.22,78447679,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/
ZZTo2Q2Nu,4.04,199025628,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/
ZZTo4Q,6.896587,340455184,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/
VVTo2L2Nu,11.95,216985374,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/
#
#LQ 
#
LQToBMu_M-300_pair,8.402,50000,LQuujj300,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/
LQToBMu_M-400_pair,1.813,49800,LQuujj400,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/
LQToBMu_M-500_pair,.5010,50000,LQuujj500,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/
LQToBMu_M-600_pair,.1706,50000,LQuujj600,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/
LQToBMu_M-700_pair,.06449,48400,LQuujj700,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2016/gmadigan/
