SignalType,Xsections,N_orig,Group,CustomJson,EOSDirectory
#
#SingleMuon Data
#
Run2018A-02Apr2020-v1,1,1,SingleMuData,Cert_314472-325175_13TeV_17SeptEarlyReReco2018ABC_PromptEraD_Collisions18_JSON.txt,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/SingleMuon/
Run2018B-02Apr2020-v1,1,1,SingleMuData,Cert_314472-325175_13TeV_17SeptEarlyReReco2018ABC_PromptEraD_Collisions18_JSON.txt,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/SingleMuon/
Run2018C-02Apr2020-v1,1,1,SingleMuData,Cert_314472-325175_13TeV_17SeptEarlyReReco2018ABC_PromptEraD_Collisions18_JSON.txt,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/SingleMuon/
Run2018D-02Apr2020-v1,1,1,SingleMuData,Cert_314472-325175_13TeV_17SeptEarlyReReco2018ABC_PromptEraD_Collisions18_JSON.txt,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/SingleMuon/
#
#DY+jets
#
DYJetsToLL_M-10to50,18610,86299130,ZJetsM10to50,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/
DYJetsToLL_Pt-0To50,5352.57924,0,ZJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/
DYJetsToLL_Pt-50To100,363.81428,119578608640,ZJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/
DYJetsToLL_Pt-100To250,84.014804,17888382344,ZJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/
DYJetsToLL_Pt-250To400,3.22826,165953664,ZJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/
DYJetsToLL_Pt-400To650,0.436041,2070432,ZJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/
DYJetsToLL_Pt-650ToInf,0.040981,198926,ZJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/
#
#TTBar
#
TTTo2L2Nu,87.31,4635769335,TTBar_decayBinned,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/
TTToHadronic,377.96,102733996448,TTBar_decayBinned,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/
TTToSemiLeptonic,365.34,90424810144,TTBar_decayBinned,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/
#
#TTV 
#
ttHTobb,0.291,11231808,TTV,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/
ttHToNonbb,0.213,3963935,TTV,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/
TTWJetsToLNu,0.179,1690091,TTV,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/
TTWJetsToQQ,0.371,580758,TTV,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/
TTZToLLNuNu,0.26,3226764,TTV,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/
TTZToQQ,0.60,4880506,TTV,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/
#
#Single Top
#
ST_s-channel_4f,10.32,332438486,SingleTop,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/
ST_t-channel_top_4f,136.02,16603455376,SingleTop,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/
ST_t-channel_antitop_4f,80.95,5125996514,SingleTop,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/
ST_tW_top_5f_inclusiveDecays,35.85,334874722,SingleTop,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/
ST_tW_antitop_5f_inclusiveDecays,35.85,263114690,SingleTop,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/
#
#W+Jets
#
WJetsToLNu_Wpt-0To50_,57297.39264,0,WJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/ # Not on DAS
WJetsToLNu_Pt-50To100_,3298.3733,168695740416,WJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/
WJetsToLNu_Pt-100To250_,689.7496,166040870784,WJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/
WJetsToLNu_Pt-250To400_,24.5069,587476588,WJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/
WJetsToLNu_Pt-400To600_,3.110131,15201634,WJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/
WJetsToLNu_Pt-600ToInf_,0.468318,2255852,WJetsPtBin,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/
#
#DiBoson
#
WWTo2L2Nu,12.178,85917640,DiBoson_Powheg,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/
WWTo1L1Nu2Q,49.997,690994352,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/
WWTo4Q,51.723,180854747,DiBoson_Powheg,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/
WZTo3LNu,4.42965,189243129,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/
WZTo1L3Nu,3.033,9826530,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/
WZTo2L2Q,5.595,275210259,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/
WZTo1L1Nu2Q,10.71,337491868,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/
WZTo2Q2Nu,6.324,0,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/
ZZTo4L,1.212,55635913,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/
ZZTo2L2Q,3.22,157311204,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/
ZZTo2Q2Nu,4.04,410907836,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/
#ZZTo4Q,6.896587,0,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/ # Not on DAS
VVTo2L2Nu,11.95,262138482,DiBoson_amcNLO,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/
#
# LQ Signal
#
LQToBMu_M-300_pair,8.402,49949,LQuujj300,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/
LQToBMu_M-400_pair,1.813,49941,LQuujj400,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/
LQToBMu_M-500_pair,.5010,49931,LQuujj500,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/
LQToBMu_M-600_pair,.1706,49924,LQuujj600,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/
LQToBMu_M-700_pair,.06449,49919,LQuujj700,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/
LQToBMu_M-800_pair,.02680,49916,LQuujj800,0,/store/group/phys_exotica/leptonsPlusJets/LQ/LQ2/stockNanoSkim/NanoAODv7/2018_HEMfix/gmadigan/
